,rsi_200,sma_cross_f18_s200,retearn,sma_cross_f6_s50,sma_cross_f50_s200,close,adj close,sma_cross_f6_s100,sma_cross_f6_s24,ebitdamargin,sma_cross_f100_s200,sma_cross_f6_s200,adi,consolinc,atr_6,sma_cross_f24_s200,2_day_return,ebt,sma_cross_f24_s50,open,sma_cross_f18_s50,ema_18,atr_18,2_day_log_return,low,taxexp,ema_24,stoch_24,stoch_18,ema_6,sma_18,high
0,100.0,0.0,8478000000.0,0.0,0.0,56.125,36.29732894897461,0.0,0.0,0.11199999999999999,0.0,0.0,-4360000.0,2459000000.0,0.0,0.0,0.0,4026000000.0,0.0,56.5,0.0,56.125,0.0,0.0,56.125,1567000000.0,56.125,0.0,0.0,56.125,56.125,57.875
1,100.0,0.06552762503272902,8478000000.0,0.1694677871148471,0.020119988293821226,56.8125,36.74195861816406,0.18281471004242889,0.14142857142856258,0.11199999999999999,0.00677306536623945,0.18958777540866836,-5152340.0,2459000000.0,0.0,0.048159203980105765,0.0,4026000000.0,0.028039215686284532,57.25,0.0454076367389078,56.19736842105264,0.0,0.0,56.0625,1567000000.0,56.18000000000001,40.0,40.0,56.32142857142857,56.46875,57.9375
2,19.563857359907047,-0.14456196779639185,8478000000.0,-0.4094069000149148,-0.04305828446982218,54.0,34.923030853271484,-0.4381018067456424,-0.34743673469389336,0.11199999999999999,-0.014363377739094576,-0.452465184484737,-5430090.0,2459000000.0,0.0,-0.10502844979084358,-0.03786191536748329,4026000000.0,-0.0619701653210214,55.5,-0.10150368332656967,55.96606648199446,0.0,-3.8597299498143833,52.5625,1567000000.0,56.00560000000001,26.744186046511633,26.744186046511633,55.65816326530612,55.64583333333334,55.5625
3,13.67004005195487,-0.4734844199225279,8478000000.0,-1.1718345491654103,-0.14703634559365494,52.5,33.952953338623054,-1.2692209985180796,-0.9693210962099316,0.11199999999999999,-0.049649896240985925,-1.3188708947590655,-7575027.5,2459000000.0,0.0,-0.34954979854913404,-0.07590759075907594,4026000000.0,-0.20251345295547907,53.75,-0.3264480743288729,55.601217378626615,0.0,-7.894320234011909,51.8125,1567000000.0,55.725152000000016,11.224489795918366,11.224489795918366,54.75583090379007,54.859375,53.8125
4,25.83354492612061,-0.686917443714897,8478000000.0,-1.481659299432117,-0.22210725854225188,53.3125,34.478424072265625,-1.6278873576882091,-1.1886891944356748,0.11199999999999999,-0.07587920028615969,-1.7037665579743688,-2258359.9324324327,2459000000.0,0.0,-0.5150773635386939,-0.012731481481481509,4026000000.0,-0.29297010499644216,51.8125,-0.4648101851726452,55.36029975982382,0.0,-1.2813221312376832,51.1875,1567000000.0,55.53213984000002,31.48148148148148,31.48148148148148,54.343450645564346,54.55,53.5
5,28.930083931249246,-0.8514359694322877,8478000000.0,-1.6160582535430734,-0.2861135060427529,53.5625,34.64011001586914,-1.80331635112308,-1.2542467631111975,0.11199999999999999,-0.09885540846274664,-1.9021717595858263,157545.94992050854,2459000000.0,2.4166666666666665,-0.6479249964746288,0.02023809523809517,4026000000.0,-0.3618114904318759,53.125,-0.5653224633895348,55.171057679842356,0.0,2.0036026760420267,52.0,1567000000.0,55.37456865280003,35.185185185185176,35.185185185185176,54.12032188968882,54.38541666666666,54.125
6,24.551677668173284,-1.0975502476790029,8478000000.0,-1.952090496520704,-0.3779806863523021,52.5,33.952953338623054,-2.1984706458129963,-1.4872303822268618,0.11199999999999999,-0.13160053706000951,-2.330071182873006,-2148484.4848621003,2459000000.0,2.493055555555556,-0.8428408006461439,-0.015240328253223969,4026000000.0,-0.4648601142938418,53.5625,-0.7195695613267006,54.88989371354317,0.0,-1.5357655654319569,51.75,1567000000.0,55.14460316057602,19.444444444444443,19.444444444444443,53.65737277834915,54.11607142857143,54.625
7,37.88913845983241,-1.1714477083540302,8478000000.0,-1.7910807977628167,-0.42132133140674455,54.0,34.923030853271484,-2.0638277791768616,-1.2977686374805373,0.11199999999999999,-0.1485743499926997,-2.212402129169561,3121293.5639183875,2459000000.0,2.5046296296296293,-0.9146334916890241,0.008168028004667427,4026000000.0,-0.4933121602822794,52.5,-0.7501263769472857,54.79622069106494,0.0,0.8134850206276134,51.6875,1567000000.0,55.05303490772994,41.66666666666666,41.66666666666666,53.75526627024941,54.1015625,54.25
8,37.33635986757477,-1.2475957362750023,8478000000.0,-1.6913281384162246,-0.4660417825432432,53.875,34.84220504760742,-1.991121230235436,-1.1693162077905512,0.11199999999999999,-0.16624869072403214,-2.157369920959468,1986444.992489816,2459000000.0,2.4517746913580245,-0.9880537131689168,0.026190476190476097,4026000000.0,-0.5220119306256734,54.5,-0.7815539537317591,54.69925009200547,0.0,2.585337882633354,53.0625,1567000000.0,54.958792115111564,39.814814814814824,39.814814814814824,53.789475907321005,54.07638888888889,55.25
9,38.241899236582775,-1.3018294088362907,8478000000.0,-1.5731076507591482,-0.5047409291534989,54.0,34.923030853271484,-1.8957121402114647,-1.0324630978162048,0.11199999999999999,-0.182136439701182,-2.077848579912647,3075.761720585404,2459000000.0,2.3139789094650207,-1.0453854820964423,0.0,4026000000.0,-0.5406445529429433,53.75,-0.7970884796827917,54.62564481916279,0.0,0.0,53.625,1567000000.0,54.88208874590264,41.66666666666666,41.66666666666666,53.84962564808643,54.06875,55.25
