,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital,Open,High,Low,Close,Adj Close,Volume,RSI_6,BBands_6_h_ind,BBands_6_l_ind,BBands_6hband,BBands_6lband,ATR_6,DONCHAIN_6hband,DONCHAIN_6lband,KELTNER_6_h_ind,KELTNER_6_l_ind,STOCH_6,CMF_6,SMA_6,EMA_6,OBV,VPT,ADI,RSI_18,MACD_f6_s18,BBands_18_h_ind,BBands_18_l_ind,BBands_18hband,BBands_18lband,ATR_18,DONCHAIN_18hband,DONCHAIN_18lband,KELTNER_18_h_ind,KELTNER_18_l_ind,STOCH_18,CMF_18,SMA_18,SMA_cross_f6_s18,EMA_18,RSI_24,MACD_f6_s24,MACD_f18_s24,BBands_24_h_ind,BBands_24_l_ind,BBands_24hband,BBands_24lband,ATR_24,DONCHAIN_24hband,DONCHAIN_24lband,KELTNER_24_h_ind,KELTNER_24_l_ind,STOCH_24,CMF_24,ICHI_conv_6_18_24,ICHI_base_6_18_24,ICHI_diff_6_18_24,SMA_24,SMA_cross_f6_s24,SMA_cross_f18_s24,EMA_24,RSI_30,MACD_f6_s30,MACD_f18_s30,MACD_f24_s30,BBands_30_h_ind,BBands_30_l_ind,BBands_30hband,BBands_30lband,ATR_30,DONCHAIN_30hband,DONCHAIN_30lband,KELTNER_30_h_ind,KELTNER_30_l_ind,STOCH_30,CMF_30,ICHI_conv_6_18_30,ICHI_base_6_18_30,ICHI_diff_6_18_30,ICHI_conv_6_24_30,ICHI_base_6_24_30,ICHI_diff_6_24_30,ICHI_conv_18_24_30,ICHI_base_18_24_30,ICHI_diff_18_24_30,SMA_30,SMA_cross_f6_s30,SMA_cross_f18_s30,SMA_cross_f24_s30,EMA_30,RSI_50,MACD_f6_s50,MACD_f18_s50,MACD_f24_s50,MACD_f30_s50,BBands_50_h_ind,BBands_50_l_ind,BBands_50hband,BBands_50lband,ATR_50,DONCHAIN_50hband,DONCHAIN_50lband,KELTNER_50_h_ind,KELTNER_50_l_ind,STOCH_50,CMF_50,ICHI_conv_6_18_50,ICHI_base_6_18_50,ICHI_diff_6_18_50,ICHI_conv_6_24_50,ICHI_base_6_24_50,ICHI_diff_6_24_50,ICHI_conv_18_24_50,ICHI_base_18_24_50,ICHI_diff_18_24_50,ICHI_conv_6_30_50,ICHI_base_6_30_50,ICHI_diff_6_30_50,ICHI_conv_18_30_50,ICHI_base_18_30_50,ICHI_diff_18_30_50,ICHI_conv_24_30_50,ICHI_base_24_30_50,ICHI_diff_24_30_50,SMA_50,SMA_cross_f6_s50,SMA_cross_f18_s50,SMA_cross_f24_s50,SMA_cross_f30_s50,EMA_50,RSI_100,MACD_f6_s100,MACD_f18_s100,MACD_f24_s100,MACD_f30_s100,MACD_f50_s100,BBands_100_h_ind,BBands_100_l_ind,BBands_100hband,BBands_100lband,ATR_100,DONCHAIN_100hband,DONCHAIN_100lband,KELTNER_100_h_ind,KELTNER_100_l_ind,STOCH_100,CMF_100,ICHI_conv_6_18_100,ICHI_base_6_18_100,ICHI_diff_6_18_100,ICHI_conv_6_24_100,ICHI_base_6_24_100,ICHI_diff_6_24_100,ICHI_conv_18_24_100,ICHI_base_18_24_100,ICHI_diff_18_24_100,ICHI_conv_6_30_100,ICHI_base_6_30_100,ICHI_diff_6_30_100,ICHI_conv_18_30_100,ICHI_base_18_30_100,ICHI_diff_18_30_100,ICHI_conv_24_30_100,ICHI_base_24_30_100,ICHI_diff_24_30_100,ICHI_conv_6_50_100,ICHI_base_6_50_100,ICHI_diff_6_50_100,ICHI_conv_18_50_100,ICHI_base_18_50_100,ICHI_diff_18_50_100,ICHI_conv_24_50_100,ICHI_base_24_50_100,ICHI_diff_24_50_100,ICHI_conv_30_50_100,ICHI_base_30_50_100,ICHI_diff_30_50_100,SMA_100,SMA_cross_f6_s100,SMA_cross_f18_s100,SMA_cross_f24_s100,SMA_cross_f30_s100,SMA_cross_f50_s100,EMA_100,RSI_200,MACD_f6_s200,MACD_f18_s200,MACD_f24_s200,MACD_f30_s200,MACD_f50_s200,MACD_f100_s200,BBands_200_h_ind,BBands_200_l_ind,BBands_200hband,BBands_200lband,ATR_200,DONCHAIN_200hband,DONCHAIN_200lband,KELTNER_200_h_ind,KELTNER_200_l_ind,STOCH_200,CMF_200,ICHI_conv_6_18_200,ICHI_base_6_18_200,ICHI_diff_6_18_200,ICHI_conv_6_24_200,ICHI_base_6_24_200,ICHI_diff_6_24_200,ICHI_conv_18_24_200,ICHI_base_18_24_200,ICHI_diff_18_24_200,ICHI_conv_6_30_200,ICHI_base_6_30_200,ICHI_diff_6_30_200,ICHI_conv_18_30_200,ICHI_base_18_30_200,ICHI_diff_18_30_200,ICHI_conv_24_30_200,ICHI_base_24_30_200,ICHI_diff_24_30_200,ICHI_conv_6_50_200,ICHI_base_6_50_200,ICHI_diff_6_50_200,ICHI_conv_18_50_200,ICHI_base_18_50_200,ICHI_diff_18_50_200,ICHI_conv_24_50_200,ICHI_base_24_50_200,ICHI_diff_24_50_200,ICHI_conv_30_50_200,ICHI_base_30_50_200,ICHI_diff_30_50_200,ICHI_conv_6_100_200,ICHI_base_6_100_200,ICHI_diff_6_100_200,ICHI_conv_18_100_200,ICHI_base_18_100_200,ICHI_diff_18_100_200,ICHI_conv_24_100_200,ICHI_base_24_100_200,ICHI_diff_24_100_200,ICHI_conv_30_100_200,ICHI_base_30_100_200,ICHI_diff_30_100_200,ICHI_conv_50_100_200,ICHI_base_50_100_200,ICHI_diff_50_100_200,SMA_200,SMA_cross_f6_s200,SMA_cross_f18_s200,SMA_cross_f24_s200,SMA_cross_f30_s200,SMA_cross_f50_s200,SMA_cross_f100_s200,EMA_200,1_day_return,1_day_log_return,2_day_return,2_day_log_return,3_day_return,3_day_log_return
429323,CARR,MRT,2018-12-31,2018-12-31,2018-12-31,2021-10-28,-1215000000.0,21737000000.0,,6109000000.0,15628000000.0,,16.067,-263000000.0,1129000000.0,1129000000.0,13345000000.0,2734000000.0,1.368,0.537,0.0,0.0,0.0,0.0,0.0,357000000.0,0.0,,0.0,3770000000.0,4127000000.0,0.218,4127000000.0,3770000000.0,3807000000.0,3.16,3.16,3.16,13917000000.0,,13917000000.0,,,,1792000000.0,2.069,1.0,5569000000.0,0.294,11063000000.0,-37000000.0,5079000000.0,,1363000000.0,1770000000.0,0.0,1770000000.0,7468000000.0,4466000000.0,3002000000.0,,-196000000.0,722000000.0,0.0,120000000.0,0.0,-2627000000.0,415000000.0,0.0,2055000000.0,-39000000.0,2734000000.0,2734000000.0,2734000000.0,0.0,0.0,0.145,3089000000.0,2480000000.0,1944000000.0,0.0,,,,1653000000.0,0.0,,,,2673000000.0,,18914000000.0,18914000000.0,400000000.0,,,,0.199,44000000.0,2689000000.0,1.0,,866200000.0,866200000.0,21.836,10674000000.0,398000000.0,1073000000.0,1280000000.0,12.323,1643000000.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429322,CARR,MRT,2019-09-30,2019-09-30,2019-09-30,2021-10-28,-1215000000.0,21737000000.0,,6109000000.0,15628000000.0,,16.067,-263000000.0,1129000000.0,1129000000.0,13345000000.0,2734000000.0,1.368,0.537,0.0,0.0,0.0,0.0,0.0,357000000.0,0.0,,0.0,3770000000.0,4127000000.0,0.218,4127000000.0,3770000000.0,3807000000.0,3.16,3.16,3.16,13917000000.0,,13917000000.0,,,,1792000000.0,2.069,1.0,5569000000.0,0.294,11063000000.0,-37000000.0,5079000000.0,,1363000000.0,1770000000.0,0.0,1770000000.0,7468000000.0,4466000000.0,3002000000.0,,-196000000.0,722000000.0,0.0,120000000.0,0.0,-2627000000.0,415000000.0,0.0,2055000000.0,-39000000.0,2734000000.0,2734000000.0,2734000000.0,0.0,0.0,0.145,3089000000.0,2480000000.0,1944000000.0,0.0,,,,1653000000.0,0.0,,,,2673000000.0,,18914000000.0,18914000000.0,400000000.0,,,,0.199,44000000.0,2689000000.0,1.0,,866200000.0,866200000.0,21.836,10674000000.0,398000000.0,1073000000.0,1280000000.0,12.323,1643000000.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429321,CARR,MRT,2019-12-31,2019-12-31,2019-12-31,2021-10-28,-1253000000.0,22406000000.0,22071500000.0,5959000000.0,16447000000.0,0.843,16.28,-243000000.0,952000000.0,952000000.0,13189000000.0,2116000000.0,1.333,0.565,1001000000.0,237000000.0,764000000.0,1001000000.0,0.0,335000000.0,0.0,,0.0,2606000000.0,2941000000.0,0.158,2941000000.0,2606000000.0,2633000000.0,2.44,2.44,2.44,14102000000.0,14009500000.0,14102000000.0,,,,1820000000.0,2.101,1.0,5419000000.0,0.291,10967000000.0,-27000000.0,7019000000.0,6049000000.0,1332000000.0,1739000000.0,0.0,1739000000.0,7971000000.0,4469000000.0,3502000000.0,,-177000000.0,6000000.0,0.0,-6000000.0,0.0,-1982000000.0,-259000000.0,0.0,2063000000.0,1000000.0,2116000000.0,2116000000.0,2116000000.0,0.0,0.0,0.114,3162000000.0,2257000000.0,1701000000.0,0.0,,,,2495000000.0,0.0,,,,2726000000.0,0.0,18608000000.0,18608000000.0,401000000.0,0.096,0.151,0.431,0.14,52000000.0,2761000000.0,1.0,866200000.0,866200000.0,866200000.0,21.482,11439000000.0,500000000.0,517000000.0,1099000000.0,13.206,1490000000.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429320,CARR,MRT,2019-12-31,2019-12-31,2020-03-19,2021-10-28,-1253000000.0,22406000000.0,22071500000.0,5959000000.0,16447000000.0,0.843,16.28,-243000000.0,952000000.0,952000000.0,13189000000.0,2116000000.0,1.333,0.565,1001000000.0,237000000.0,764000000.0,1001000000.0,0.0,335000000.0,0.0,,0.0,2606000000.0,2941000000.0,0.158,2941000000.0,2606000000.0,2633000000.0,2.44,2.44,2.44,14102000000.0,14009500000.0,14102000000.0,,,,1820000000.0,2.101,1.0,5419000000.0,0.291,10967000000.0,-27000000.0,7019000000.0,6049000000.0,1332000000.0,1739000000.0,0.0,1739000000.0,7971000000.0,4469000000.0,3502000000.0,,-177000000.0,6000000.0,0.0,-6000000.0,0.0,-1982000000.0,-259000000.0,0.0,2063000000.0,1000000.0,2116000000.0,2116000000.0,2116000000.0,0.0,0.0,0.114,3162000000.0,2257000000.0,1701000000.0,0.0,,,,2495000000.0,0.0,,,,2726000000.0,0.0,18608000000.0,18608000000.0,401000000.0,0.096,0.151,0.431,0.14,52000000.0,2761000000.0,1.0,866200000.0,866200000.0,866200000.0,21.482,11439000000.0,500000000.0,517000000.0,1099000000.0,13.206,1490000000.0,12.0,12.0,12.0,12.0,11.800251007080078,100.0,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,100.0,,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429319,CARR,MRT,2019-12-31,2019-12-31,2020-03-20,2021-10-28,-1253000000.0,22406000000.0,22071500000.0,5959000000.0,16447000000.0,0.843,16.28,-243000000.0,952000000.0,952000000.0,13189000000.0,2116000000.0,1.333,0.565,1001000000.0,237000000.0,764000000.0,1001000000.0,0.0,335000000.0,0.0,,0.0,2606000000.0,2941000000.0,0.158,2941000000.0,2606000000.0,2633000000.0,2.44,2.44,2.44,14102000000.0,14009500000.0,14102000000.0,,,,1820000000.0,2.101,1.0,5419000000.0,0.291,10967000000.0,-27000000.0,7019000000.0,6049000000.0,1332000000.0,1739000000.0,0.0,1739000000.0,7971000000.0,4469000000.0,3502000000.0,,-177000000.0,6000000.0,0.0,-6000000.0,0.0,-1982000000.0,-259000000.0,0.0,2063000000.0,1000000.0,2116000000.0,2116000000.0,2116000000.0,0.0,0.0,0.114,3162000000.0,2257000000.0,1701000000.0,0.0,,,,2495000000.0,0.0,,,,2726000000.0,0.0,18608000000.0,18608000000.0,401000000.0,0.096,0.151,0.431,0.14,52000000.0,2761000000.0,1.0,866200000.0,866200000.0,866200000.0,21.482,11439000000.0,500000000.0,517000000.0,1099000000.0,13.206,1490000000.0,13.0,13.0,12.0,12.75,12.537765502929688,2300.0,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,2400.0,,1150.0,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,6.062462181643458,,,,
429318,CARR,MRT,2019-12-31,2019-12-31,2020-03-23,2021-10-28,-1253000000.0,22406000000.0,22071500000.0,5959000000.0,16447000000.0,0.843,16.28,-243000000.0,952000000.0,952000000.0,13189000000.0,2116000000.0,1.333,0.565,1001000000.0,237000000.0,764000000.0,1001000000.0,0.0,335000000.0,0.0,,0.0,2606000000.0,2941000000.0,0.158,2941000000.0,2606000000.0,2633000000.0,2.44,2.44,2.44,14102000000.0,14009500000.0,14102000000.0,,,,1820000000.0,2.101,1.0,5419000000.0,0.291,10967000000.0,-27000000.0,7019000000.0,6049000000.0,1332000000.0,1739000000.0,0.0,1739000000.0,7971000000.0,4469000000.0,3502000000.0,,-177000000.0,6000000.0,0.0,-6000000.0,0.0,-1982000000.0,-259000000.0,0.0,2063000000.0,1000000.0,2116000000.0,2116000000.0,2116000000.0,0.0,0.0,0.114,3162000000.0,2257000000.0,1701000000.0,0.0,,,,2495000000.0,0.0,,,,2726000000.0,0.0,18608000000.0,18608000000.0,401000000.0,0.096,0.151,0.431,0.14,52000000.0,2761000000.0,1.0,866200000.0,866200000.0,866200000.0,21.482,11439000000.0,500000000.0,517000000.0,1099000000.0,13.206,1490000000.0,12.75,12.75,11.5,11.539999961853027,11.347907066345215,18700.0,34.059944796030635,0.0,0.0,,,0.75,,,0.0,0.0,,,,,-16300.0,-1630.91672261556,-16353.201141357422,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09490196377623317,-9.971201383011152,-0.038333336512247684,-3.9087392013676947,,
429317,CARR,MRT,2019-12-31,2019-12-31,2020-03-24,2021-10-28,-1253000000.0,22406000000.0,22071500000.0,5959000000.0,16447000000.0,0.843,16.28,-243000000.0,952000000.0,952000000.0,13189000000.0,2116000000.0,1.333,0.565,1001000000.0,237000000.0,764000000.0,1001000000.0,0.0,335000000.0,0.0,,0.0,2606000000.0,2941000000.0,0.158,2941000000.0,2606000000.0,2633000000.0,2.44,2.44,2.44,14102000000.0,14009500000.0,14102000000.0,,,,1820000000.0,2.101,1.0,5419000000.0,0.291,10967000000.0,-27000000.0,7019000000.0,6049000000.0,1332000000.0,1739000000.0,0.0,1739000000.0,7971000000.0,4469000000.0,3502000000.0,,-177000000.0,6000000.0,0.0,-6000000.0,0.0,-1982000000.0,-259000000.0,0.0,2063000000.0,1000000.0,2116000000.0,2116000000.0,2116000000.0,0.0,0.0,0.114,3162000000.0,2257000000.0,1701000000.0,0.0,,,,2495000000.0,0.0,,,,2726000000.0,0.0,18608000000.0,18608000000.0,401000000.0,0.096,0.151,0.431,0.14,52000000.0,2761000000.0,1.0,866200000.0,866200000.0,866200000.0,21.482,11439000000.0,500000000.0,517000000.0,1099000000.0,13.206,1490000000.0,12.899999618530273,12.899999618530273,11.5,11.699999809265137,11.505242347717285,96100.0,40.3058645940457,0.0,0.0,,,0.8583332697550455,,,0.0,0.0,,,,,79800.0,-442.2589767636507,-84996.0769879139,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013864804847574463,1.376956772726201,-0.08235295613606775,-8.594244610284951,-0.025000015894571903,-2.5317824286414936
429316,CARR,MRT,2019-12-31,2019-12-31,2020-03-25,2021-10-28,-1253000000.0,22406000000.0,22071500000.0,5959000000.0,16447000000.0,0.843,16.28,-243000000.0,952000000.0,952000000.0,13189000000.0,2116000000.0,1.333,0.565,1001000000.0,237000000.0,764000000.0,1001000000.0,0.0,335000000.0,0.0,,0.0,2606000000.0,2941000000.0,0.158,2941000000.0,2606000000.0,2633000000.0,2.44,2.44,2.44,14102000000.0,14009500000.0,14102000000.0,,,,1820000000.0,2.101,1.0,5419000000.0,0.291,10967000000.0,-27000000.0,7019000000.0,6049000000.0,1332000000.0,1739000000.0,0.0,1739000000.0,7971000000.0,4469000000.0,3502000000.0,,-177000000.0,6000000.0,0.0,-6000000.0,0.0,-1982000000.0,-259000000.0,0.0,2063000000.0,1000000.0,2116000000.0,2116000000.0,2116000000.0,0.0,0.0,0.114,3162000000.0,2257000000.0,1701000000.0,0.0,,,,2495000000.0,0.0,,,,2726000000.0,0.0,18608000000.0,18608000000.0,401000000.0,0.096,0.151,0.431,0.14,52000000.0,2761000000.0,1.0,866200000.0,866200000.0,866200000.0,21.482,11439000000.0,500000000.0,517000000.0,1099000000.0,13.206,1490000000.0,11.800000190734863,13.449999809265137,11.800000190734863,13.449999809265137,13.226113319396973,19200.0,73.38904603646775,0.0,0.0,,,1.006944391462538,,,1.0,0.0,,,,,99000.0,4204.2026644631405,-65796.0769879139,,,0.0,0.0,,,0.0,,,1.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14957265201100167,13.939026636523177,0.1655112524892428,15.315983409249379,0.054901945824716636,5.344782026238226
429315,CARR,MRT,2019-12-31,2019-12-31,2020-03-26,2021-10-28,-1253000000.0,22406000000.0,22071500000.0,5959000000.0,16447000000.0,0.843,16.28,-243000000.0,952000000.0,952000000.0,13189000000.0,2116000000.0,1.333,0.565,1001000000.0,237000000.0,764000000.0,1001000000.0,0.0,335000000.0,0.0,,0.0,2606000000.0,2941000000.0,0.158,2941000000.0,2606000000.0,2633000000.0,2.44,2.44,2.44,14102000000.0,14009500000.0,14102000000.0,,,,1820000000.0,2.101,1.0,5419000000.0,0.291,10967000000.0,-27000000.0,7019000000.0,6049000000.0,1332000000.0,1739000000.0,0.0,1739000000.0,7971000000.0,4469000000.0,3502000000.0,,-177000000.0,6000000.0,0.0,-6000000.0,0.0,-1982000000.0,-259000000.0,0.0,2063000000.0,1000000.0,2116000000.0,2116000000.0,2116000000.0,0.0,0.0,0.114,3162000000.0,2257000000.0,1701000000.0,0.0,,,,2495000000.0,0.0,,,,2726000000.0,0.0,18608000000.0,18608000000.0,401000000.0,0.096,0.151,0.431,0.14,52000000.0,2761000000.0,1.0,866200000.0,866200000.0,866200000.0,21.482,11439000000.0,500000000.0,517000000.0,1099000000.0,13.206,1490000000.0,14.0,15.449999809265137,14.0,15.449999809265137,15.19282054901123,76400.0,84.88066899832903,0.0,0.0,15.508665217155016,10.121334579394464,1.172453659552115,15.449999809265137,11.5,1.0,0.0,100.0,0.04983046528235951,12.81499989827474,13.245784369358779,175400.0,14232.389875255212,10603.923012086103,,,0.0,0.0,,,0.0,,,1.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,13.474999904632568,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,13.474999904632568,,,13.474999904632568,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,13.474999904632568,,,13.474999904632568,,,,,,13.474999904632568,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,13.474999904632568,,,13.474999904632568,,,,,,13.474999904632568,,,,,,,,,13.474999904632568,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,13.474999904632568,,,13.474999904632568,,,,,,13.474999904632568,,,,,,,,,13.474999904632568,,,,,,,,,,,,13.474999904632568,,,,,,,,,,,,,,,,,,,,,,,0.14869888686706778,13.862989913163881,0.32051282573786066,27.80201654968706,0.3388214783654353,29.17897332241326
429314,CARR,MRT,2019-12-31,2019-12-31,2020-03-27,2021-10-28,-1253000000.0,22406000000.0,22071500000.0,5959000000.0,16447000000.0,0.843,16.28,-243000000.0,952000000.0,952000000.0,13189000000.0,2116000000.0,1.333,0.565,1001000000.0,237000000.0,764000000.0,1001000000.0,0.0,335000000.0,0.0,,0.0,2606000000.0,2941000000.0,0.158,2941000000.0,2606000000.0,2633000000.0,2.44,2.44,2.44,14102000000.0,14009500000.0,14102000000.0,,,,1820000000.0,2.101,1.0,5419000000.0,0.291,10967000000.0,-27000000.0,7019000000.0,6049000000.0,1332000000.0,1739000000.0,0.0,1739000000.0,7971000000.0,4469000000.0,3502000000.0,,-177000000.0,6000000.0,0.0,-6000000.0,0.0,-1982000000.0,-259000000.0,0.0,2063000000.0,1000000.0,2116000000.0,2116000000.0,2116000000.0,0.0,0.0,0.114,3162000000.0,2257000000.0,1701000000.0,0.0,,,,2495000000.0,0.0,,,,2726000000.0,0.0,18608000000.0,18608000000.0,401000000.0,0.096,0.151,0.431,0.14,52000000.0,2761000000.0,1.0,866200000.0,866200000.0,866200000.0,21.482,11439000000.0,500000000.0,517000000.0,1099000000.0,13.206,1490000000.0,15.0,16.0,14.550000190734863,14.550000190734863,14.307802200317383,486500.0,68.83002603164745,0.0,0.0,16.08558133447925,10.394418525648515,1.218711351170952,16.0,11.5,0.0,0.0,67.77778201633029,-0.6806294007264215,13.239999930063883,13.618417461180517,-311100.0,-16979.199206486428,-475896.0769879139,,,0.0,0.0,,,0.0,,,1.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,13.75,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,13.75,,,13.75,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,13.75,,,13.75,,,,,,13.75,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,13.75,,,13.75,,,,,,13.75,,,,,,,,,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,1.0,0.0,,,13.75,,,13.75,,,,,,13.75,,,,,,,,,13.75,,,,,,,,,,,,13.75,,,,,,,,,,,,,,,,,,,,,,,-0.05825240321301217,-6.001798427202942,0.08178441613894916,7.861191485960939,0.24358978016502486,21.800218122484118
